main_ingredients,estimated_cooking_time_minutes,ingredient_count,complexity_score,difficulty
"salt,sunflower oil,asafoetida (hing),red chilli powder,split methi seeds (methi kuria),tindora (dondakaya kovakkai),lemon,turmeric powder,split mustard seeds (rai kuria)",35,9,0,1
"jaggery,cloves garlic,black peppercorns,curry leaves,coriander (dhania) seeds,onion,cumin seeds (jeera),turmeric powder,chicken legs,sunflower oil,salt,cardamom (elaichi) podsseeds,dry red chillies,tamarind paste,kalonji (onion nigella seeds),coconut,mustard seeds,methi seeds (fenugreek seeds),hung curd (greek yogurt),ginger,ghee,fennel seeds (saunf),cinnamon stick (dalchini),cloves (laung)",35,24,2,5
"tomato,coriander (dhania),jackfruit seeds (kathal),salt,tamarind water,mustard seeds,asafoetida (hing),coconut,red chilli powder,cloves garlic,black peppercorns,curry leaves,dry red chillies,onion,cumin seeds (jeera),coriander (dhania) seeds,turmeric powder,sambar powder,sunflower oil",25,19,0,4
"tomato,turmeric powder,salt,ginger,red chilli powder,eggsplant,coriander,onion,oil,coriander powder,green chillies,butter,garam masala powder",60,13,2,5
"milk,water,saffron strands,tea leaves",10,4,1,1
"turmeric powder,salt,tamarind water,asafoetida,jaggery,mustard,curry leaves,dry red chillies,oil,mango,sambar powder",35,11,0,2
"tomato,jackfruit seeds (kathal),ginger,tamarind water,mustard seeds,coconut,cloves garlic,curry leaves,dry red chillies,coriander (dhania) seeds,cumin seeds (jeera),cinnamon stick (dalchini),turmeric powder,cloves (laung),kala chana (brown chickpeas)",55,15,0,3
"salt,wheat flour,red bell pepper (capsicum),cheese flavoured,italian,parsley leaves,onion,broccoli",55,8,2,3
"salt,makki ka atta (yellow corn meal flour),kashmiri red chilli powder,ajwain (carom seeds),methi leaves (fenugreek leaves),green chillies",30,6,0,1
"salt,mustard seeds,asafoetida (hing),carrot,curry leaves,sugar,lemon,green bell pepper (capsicum),turmeric powder,green chillies,cabbage (patta gobi muttaikose),sunflower oil",30,12,0,2
"salt,wheat flour,water,dry yeast,virgin olive oil,sugar,flour (maida)",70,7,0,1
"tomato,salt,mustard seeds,red chilli powder,cloves garlic,dry red chillies,methi seeds (fenugreek seeds),tamarind paste,turmeric powder,sunflower oil",75,10,0,2
"salt,brown rice,rosemary,red chilli flakes,water,onion,garlic,oil,oregano",30,9,0,1
"salt,wheat flour,water,ghee",45,4,1,1
"salt,ridge gourd skin (turai peerkangai),mustard seeds,curry leaves,white urad dal (split),dry red chillies,methi seeds (fenugreek seeds),tamarind,sunflower oil",25,9,0,1
"salt,wheat (dalia godumai rava),water make pakora batter,enos fruit salt,green chilli,coriander (dhania) leaves,ajwain (carom seeds),sunflower oil the pakoras,gram flour (besan),onion,cumin seeds (jeera),turmeric powder,sunflower oil",25,13,0,2
"salt,wheat flour,hung curd (greek yogurt),ginger,ghee,paneer,chaat masala powder,cloves garlic,gram flour (besan),onion,lemon,coal giving smoked flavour,green bell pepper (capsicum),mint leaves (pudina),turmeric powder,kasuri methi (dried fenugreek leaves),garam masala powder",60,17,2,5
"salt,jasmine rice,eggs fork,mozzarella cheese,virgin olive oil,onion,parsley leaves,sweet corn,parmesan cheese,flour (maida),wheat bread crumbs,butter,sunflower oil",65,13,4,5
"tomato,salt,cumin powder (jeera),red chillies,fish fillet basa,paprika powder,coriander (dhania) leaves,chicken stock,cloves garlic,carrot,virgin olive oil,onion,lemon,baby potatoes,black pepper powder,coconut milk,clamps,prawns",65,18,3,5
"salt,water,cloves garlic,soy sauce,white vinegar,green bell pepper (capsicum),tomato ketchup,onion,dry red chillies (chilli flakes),black pepper powder,hakka noodles,red chilli sauce,sunflower oil",40,13,0,3
"tomato,salt,ginger,bay leaf (tej patta),paneer,potato (aloo),red chilli powder,dry red chilli,sugar,cumin seeds (jeera),panch phoran masala,turmeric powder,sunflower oil",75,13,1,4
"salt,corn flour,nutralite cheesy garlic mayo,mozzarella cheese,nutralite garlic oregano pan roasting,broccoli florets,wheat bread crumbs",35,7,2,3
"salt,kasundi mustard sauce,kalonji (onion nigella seeds),green chilli,mustard oil,mustard seeds,potato (aloo),red chilli powder,sugar,onion,cumin seeds (jeera),turmeric powder,mooli mullangi (radish)",35,13,0,3
"salt,coriander,tamarind water,asafoetida,mustard,curry leaves,dry red chilli,chakundar,sesame oil,arhar dal,sambar powder",55,11,0,2
"salt,wheat flour,spinach,red chilli powder,sunflower oil rotis,cumin seeds (jeera),parangikai pumpkin (red preferably),coriander powder,water dough,turmeric powder",35,10,0,1
"salt,ginger,eggs,coconut,jaggery,cloves garlic,dry red chilli,coriander (dhania) leaves,coriander (dhania) seeds,onion,poppy seeds,badam (almond),sesame seeds (til seeds),sunflower oil",40,14,2,5
"tomato,salt,ginger,asafoetida (hing),coriander (dhania) leaves,ajwain (carom seeds),cloves garlic,water,gram flour (besan),baking soda,onion,coconut milk,turmeric powder,green chillies,sunflower oil",50,15,0,3
"salt,ginger,sunflower oil,asafoetida (hing),mustard seeds,sesame (gingelly) oil,water,curry leaves,rice flour,green chillies,white urad dal",40,11,0,2
"spring onion greens,cumin powder (jeera),carrot,onion,black pepper powder,green chillies,sunflower oil,eggs noodles tossed oil,salt,soy sauce,white pepper powder,rice,chinese spice powder,red chilli powder,garlic,lemon,classic mayonnaise (with eggs),sweet spicy red chilli sauce (tomato chilli sauce),boneless chicken,ginger,spring onion (bulb greens),tomato ketchup,vinegar,green bell pepper (capsicum),red chilli sauce",75,25,3,5
"turmeric powder,salt,tomato take,rice,ghee,capsicum (green) red yellow,red chilli powder,lentil sugar,ginger garlic paste,coriander,bay leaf,onion,coriander powder,tofu,green chillies,cumin seeds,garam masala powder",65,17,2,5
"tomato,pav bhaji masala,salt,ginger,french bread rye bread,coriander (dhania) leaves,paneer,rocket leaves salad leaves the sandwich,cloves garlic,onion,green bell pepper (capsicum),potato (aloo)",30,12,1,3
"tomato,salt,red wine vinaigrette,cloves garlic,virgin olive oil,onion,black pepper powder,dijon mustard,cane sugar,dried oregano",30,10,0,1
"salt,coriander (dhania) leaves,coconut,red chilli powder,cloves garlic,gram flour (besan),onion,cumin seeds (jeera),turmeric powder,garam masala powder",45,10,0,2
"salt,coriander (dhania) leaves,water,mooli mullangi (radish) purple,black pepper powder,mooli mullangi (radish),garam masala powder",40,7,0,1
"baking powder,salt,mango pulp (puree),baking soda,vivatta maida,sugar,vanilla,dark chocolate,cocoa powder,sunflower oil",51,10,0,2
"tomato,coriander (dhania) leaves,ajwain (carom seeds),onion,cumin seeds (jeera),turmeric powder,sunflower oil,salt,cardamom (elaichi) podsseeds,mace (javitri),cashews,flour (maida),garam masala powder,red chilli powder,curd,sugar,pepper,kasuri methi (dried fenugreek leaves),amchur (dry mango powder),paneer,green peas (matar),ginger garlic paste,cinnamon stick (dalchini),coriander powder,cloves (laung)",80,25,2,5
"tomato,salt,red bell pepper (capsicum),rosemary,black pepper corns,mozzarella cheese,virgin olive oil,cloves garlic,red chilli flakes,basil leaves,sugar,onion,thyme leaves,green zucchini",65,14,3,5
"green chillies,salt,ginger,rice,mustard seeds,coconut,curry leaves,white urad dal (split),coconut oil,chana dal (bengal gram dal),peanuts (moongphali) fistful",60,11,0,2
"salt,coconut,asafoetida (hing),karela (bitter gourd pavakkai),hog plum (amtekai) (ambade),rice (raw rice),jaggery,black peppercorns,black urad dal (split),dry red chilli,mustard seeds,coriander (dhania) seeds,methi seeds (fenugreek seeds),turmeric powder,sunflower oil",50,15,0,3
"herbs herbs choice like basil,salt,black pepper powder red chilli powder,anardana powder (pomegranate seed powder),cauliflower (gobi),virgin olive oil,garlic,cumin seeds (jeera),pomegranate molasses or,coriander powder",40,10,1,3
"salt,water,dry yeast,sugar,vivatta maida bread flour,eggs brushing (or milk,milk powder,butter",135,8,2,3
"yellow bell pepper (capsicum),basmati rice,red bell pepper (capsicum),ginger,salt,sesame seeds (til seeds) mixed black white,green bell pepper (capsicum),green chillies,butter",40,9,1,2
"salt,nolen gur brown sugar,cardamom (elaichi) podsseeds,poha (flattened rice),milk,saffron strands,raisins,mixed nuts almondscashews,rice flour",45,9,2,3
"salt,corn flour,bok choy,carrot,dark soy sauce,sugar,bean paste,button mushrooms,rice flour,red chilli sauce,cabbage (patta gobi muttaikose),sunflower oil",100,12,0,2
"salt,coconut,mustard seeds,vellai poosanikai (ash gourdwhite pumpkin),water,dry red chilli,curd,curry leaves,coconut oil,methi seeds (fenugreek seeds),black pepper powder,turmeric powder,green chillies",35,13,0,3
"turmeric powder,salt,wheat flour,mango powder powder,ginger green chilli,red chilli powder,water,oil,coriander powder,cheese crumble,green peas",65,11,1,3
"salt,rye,ginger,green chilli,kali urad dal (split),coriander,elephant yam,curd,oil,asafetida",40,10,0,2
"fish sauce,ginger,capsicum (green),capsicum (yellow),capsicum (red),thai basil leaves,cloves garlic,baby corn,soy sauce,sriracha sauce,green onion,rice noodles,brown sugar",35,13,2,4
"basmati rice,black peppercorns,curry leaves,cumin seeds (jeera),turmeric powder,green chilli paste,sunflower oil,black cardamom (badi elaichi),ginger paste,cardamom (elaichi) podsseeds,garam masala powder,coconut,red chilli powder,dry red chilli,garlic paste,hung curd (greek yogurt),bay leaves (tej patta),ghee,shrimps prawns,cinnamon stick (dalchini),coriander powder",55,21,2,5
"dried figs,flax seeds,peanuts (moongphali),walnuts,cinnamon powder (dalchini)",25,5,0,1
"salt,bay leaf (tej patta),ghee,milk,gram chicken,onion,lemon,badam (almond) paste,cardamom powder (elaichi),black pepper powder,cinnamon stick (dalchini),ginger paste,kasuri methi (dried fenugreek leaves),garlic paste",180,14,3,5
"cashew nuts,ghee roasting the rava,mixed dry fruits,cardamom (elaichi) podsseeds,ghee,milk,raisins,sugar,saffron strands ( using mortar pestle),sooji (semolina rava)",35,10,4,5
"salt,red bell pepper (capsicum),red chilli flakes,virgin olive oil,onion,lemon,thyme leaves,black pepper powder,chicken breasts",90,9,1,2
"tomato,cloves garlic,kasoori methi,onion,cardamom,salt,green chilli,cottage cheese cube,cinnamon,cashews,garam masala powder,star anise,cardamom powder,rice,red chilli powder,water,mint,coriander (dhania) leaves,ginger,ghee,cumin powder,bay leaf,salt oil,black pepper",45,24,3,5
"cashew nuts,wheat flour,ghee,dry coconut (kopra),sugar,badam (almond),goond (edible gum)",75,7,3,4
"salt,coriander leaves,chana lentils,spoon turmeric powder,water,mustard,curry leaves,oil,coconut milk,green chillies,cumin seeds",50,11,0,2
"water,dry ginger powder,tulsi (holy basil),black pepper powder,palm sugar (panakalkandu)",10,5,1,1
"baking powder,wheat flour,salt,coriander (dhania) leaves,black pepper powder,carrot,baking soda,curd,onion,del monte sandwich,sweet corn,eggs,green chillies,butter",55,14,2,5
"salt,ginger,gram dal (pottukadalai),cloves garlic,black peppercorns,dry red chillies,eggs,sunflower oil",35,8,1,2
"palm jaggery date palm jaggery,coconut,poha (flattened rice),milk,sooji (semolina rava),flour (maida)",40,6,0,1
"urad dal papad,salt,tamarind water,asafoetida (hing),mustard seeds,jaggery,water,pearl onion (sambar onion),curry leaves,dry red chillies,gingelly oil,methi seeds (fenugreek seeds),turmeric powder,sambar powder",25,14,0,3
"cashew nuts,salt,cumin powder (jeera),cardamom (elaichi) podsseeds,ghee,anardana powder (pomegranate seed powder),milk,saffron strands,raisins,water,cinnamon stick (dalchini),badam (almond),basmati rice hour,dates,cloves (laung),sunflower oil",160,16,4,5
"tomato paste,green chilli,coriander powder,mustard seeds,asafoetida (hing),green peas (matar),red chilli powder,water,onion paste,ginger garlic paste,coriander (dhania) leaves,onion,cumin seeds (jeera),button mushrooms,turmeric powder,garam masala powder,sunflower oil",40,17,0,4
"salt,black salt,ginger,coriander (dhania) leaves,ghee,bay leaf (tej patta),cloves garlic,kabuli chana (white chickpeas),onion,lemon,cinnamon stick (dalchini),brown cardamom (badi elaichi),coriander powder,green chillies,garam masala powder",540,15,1,5
"salt,peanuts roast,coconut,capsicum (green),capsicum (yellow),capsicum (red),mustard,curry leaves,cloves garlic un,dry red chillies,onion,oil,coriander (dhania) leaves,cumin seeds",63,14,0,3
"turmeric powder,salt,green chilli,coconut,red chilli powder,cloves garlic,banana,mustard,oil,black gram,suran,cumin seeds,black pepper",380,13,0,4
"coriander (dhania),salt,ginger,mustard seeds,asafoetida (hing),mozzarella cheese,gram flour (besan),onion,potato (aloo),turmeric powder,green chillies,sunflower oil",45,12,1,3
"tomato,red bell pepper (capsicum),red chillies,cumin powder (jeera),cashews almonds (paste),paneer,coriander (dhania) leaves,cloves garlic,onion,lemon,ginger chooped,gram curd,coriander powder,turmeric powder,butter,garam masala powder",80,16,3,5
"salt,wheat flour,cumin powder (jeera),coriander (dhania) leaves,paneer,ghee,raisins,water make pliable dough,red chilli powder green chillies,potato (aloo),spinach leaves (palak),garam masala powder,mixed nuts",55,13,2,5
"re beans,nutralite cheesy garlic mayo,summer salad,tomato salsa,taco shells,hariyali chicken tikka",20,6,1,1
"tomato,turmeric powder,salt,ginger,coriander leaves,jaggery,red chilli powder,water,mustard,oil,spoon coriander powder,cumin seeds,trumpet",50,13,0,3
"ajwain (carom seeds),cloves garlic,onion,soy (nuggets),turmeric powder,green chillies,salt,cardamom (elaichi) podsseeds,mint leaves (pudina),star anise,garam masala powder,red chilli powder,curd,button mushrooms,ginger,ghee,bay leaf (tej patta),biryani masala,basmati rice spices infused water (spices include cinnamon,cinnamon stick (dalchini),cloves (laung)",60,21,1,5
"cashew nuts,salt,coconut,fennel seeds (saunf),cardamom (elaichi) podsseeds,cauliflower (gobi),black peppercorns,carrot,ginger garlic paste,onion,poppy seeds,cinnamon stick (dalchini),cumin seeds (jeera),cloves (laung),potato (aloo),green chillies,star anise,sunflower oil",30,18,1,5
"salt,green chilli,mustard seeds,coconut,curry leaves,white urad dal (split),cabbage (patta gobi muttaikose)",45,7,0,1
"tomato,salt,mustard seeds,brinjal (baingan eggsplant),coriander (dhania) leaves,jaggery,red chilli powder,black peppercorns,ginger garlic paste,onion,tamarind,turmeric powder,sunflower oil",90,13,1,4
"sweet spicy red chilli sauce (tomato chilli sauce),salt,soy sauce,iceberg lettuce,spring onion (bulb greens),chilli vinegar,garlic,black pepper powder,button mushrooms,red chilli sauce,chicken breasts cm cubes,sunflower oil",25,12,1,3
"orange,orange two,curd,sugar,vanilla drops,lemon,turmeric powder",600,7,0,2
"wheat brown bread,salt,green chilli,paneer,chaat masala powder,black pepper powder,green bell pepper (capsicum),butter",20,8,2,3
"salt,elephant yam (suransenairatalu),ginger,cumin powder (jeera),red chilli powder,curry leaves,onion,garlic,cumin seeds (jeera),black pepper powder,coriander powder,turmeric powder,green chillies,garam masala powder,sunflower oil",35,15,0,3
"tomato,turmeric powder,salt,ginger,red chilli powder,water,curry leaves,garlic,onion,coriander powder,coconut oil,chicken breast,garam masala powder",40,13,1,4
"tomato,salt,ginger,tamarind water,mustard seeds,coconut,red chilli powder,cloves garlic,coriander (dhania) leaves,onion,bottle gourd (lauki),cumin seeds (jeera),methi seeds (fenugreek seeds),peanuts (moongphali),sesame seeds (til seeds),coriander powder,turmeric powder,green chillies,sunflower oil",50,19,0,4
"ginger,arhar dal (split toor dal),ghee,mustard seeds,asafoetida (hing),coriander (dhania) leaves,water,curry leaves,lemon,tamarind,turmeric powder,green chillies",35,12,1,3
"salt,cumin powder (jeera),wheat flour,hummus,milk,red chilli powder,virgin olive oil,dry yeast,ginger garlic paste,carrot,sugar,tomato pulp,chilli vinegar,tzatziki,onion,black pepper powder,cucumber,coriander powder,chicken breasts,turmeric powder",85,20,1,5
"salt,wheat flour,onion,cumin seeds (jeera),ghee parathas,ghee,oil,button mushrooms,turmeric powder,green chillies,garam masala powder,sunflower oil",60,12,2,4
"tomato,salt,green chillies,cumin powder (jeera),chana dal (bengal gram dal),ghee,asafoetida (hing),red chilli powder,water,ginger garlic paste,dry red chillies,onion,cumin seeds (jeera),turmeric powder,spinach leaves (palak)",50,15,1,4
"salt,yellow moong dal (split),coconut,mustard seeds,asafoetida (hing),coriander (dhania) leaves,carrot,curry leaves,lemon,cucumber,green chillies,sunflower oil",45,12,0,2
"cashew nuts,baking powder,ghee,saffron strands,raisins,curd,cardamom powder (elaichi),caster sugar,sooji (semolina rava)",85,9,3,4
"salt,dill leaves,coriander (dhania) leaves,ghee,carrot,ragi flour (finger millet nagli),onion,cumin seeds (jeera),green chillies",40,9,1,2
"salt,asafoetida (hing),mustard seeds,curry leaves,white urad dal (split),onion,rasam powder,turmeric powder,sweet potatoes,sunflower oil",20,10,0,1
"chocolate sauce,heavy whipping cream,oreo biscuits,milk,scoops,vanilla ice",25,6,1,1
"paprika powder,coriander (dhania) leaves,lemon wedged,sweet corn,parmesan cheese,butter,del monte cheesy garlic mayo",25,7,2,3
"tomato,salt,cashew nuts,ginger,ghee,paneer,cardamom (elaichi) podsseeds,milk,green peas (matar),red chilli powder,onion red,cloves garlic,black peppercorns,sugar,dry red chillies,cinnamon stick (dalchini),coriander (dhania) seeds,kasuri methi (dried fenugreek leaves),sunflower oil",60,19,3,5
"kashmiri red chilli powder,green chilli,yogurt,salt ghee,cumin powder,eggsplant,coriander,onion,garam masala powder",25,9,2,3
"salt,amchur (dry mango powder),asafoetida (hing),ajwain (carom seeds),red chilli powder,gram flour (besan),curd,coriander (dhania) leaves,cumin seeds (jeera),green bell pepper (capsicum),coriander powder,turmeric powder,garam masala powder,sunflower oil",40,14,0,3
"salt,ginger,corn flour,soy sauce,water,green chilli sauce,garlic,chicken,onion,vinegar,black pepper powder,green bell pepper (capsicum),tomato pasta sauce,flour (maida),red chilli sauce,green chillies,sunflower oil",70,17,1,5
"tomato,salt,coriander (dhania) leaves,aar maach (fish) (rohu katla),bay leaf (tej patta),mustard oil,red chilli powder,water,ginger garlic paste,cumin seeds (jeera),coriander powder,turmeric powder,green chillies",50,13,1,4
"tomato,salt,tamarind pulp,mustard seeds,asafoetida (hing),methi powder (fenugreek powder),sesame (gingelly) oil,cloves garlic,curry leaves,onion,green amaranth leaves,sambar powder",30,12,0,2
"salt,chaat masala powder,red chilli powder,water,gram flour (besan),peanuts (moongphali),black pepper powder,coriander powder,rice flour,sunflower oil",35,10,0,1
"tomato,salt,ginger,kashmiri red chilli powder,ghee,kidney beans,black urad dal (split),coriander powder,cumin seeds,garam masala powder",160,10,1,3
"tomato,green chillies,cumin powder (jeera),ginger,button mushrooms,salt,ghee,cloves garlic,cinnamon stick (dalchini),cumin seeds (jeera),turmeric powder,spinach leaves (palak),garam masala powder",40,13,1,4
"cumin powder (jeera),curd vada,anardana powder (pomegranate seed powder),chaat masala powder,boondi sev,sweet chutney (date tamarind),carrot,coriander (dhania) leaves,onion,peanuts (moongphali),papdi puris,green chutney (coriander mint)",40,12,0,2
"black salt,cumin powder (jeera),lemon,black pepper powder,wheat grass powder",30,5,0,1
"turmeric powder,salt,gingerpaste,red chilli powder,kabuli channa soak then boil,spoon cumin powder,amchoor powder,oil,coriander powder,chana masala powder,cumin seeds",40,11,0,2
"salt,ghee,cloves garlic,curd,kachris,dry red chillies,cumin seeds",18,7,1,2
"tomato,salt per,gms cheese,ginger grated,red chilli powder,coriander powder,potatoes,oil coriander (dhania) leaves finely,green chillies,cumin powder baked",80,10,1,3
"salt,cumin,black peppers,lentil water chana lentil water,coriander leaves,curry leaves break,jaggery,water,mustard,bay leaf,goda masala,oil,tamarind paste reduce you like",25,13,0,2
"salt,wheat flour,ginger,red chilli powder,cloves garlic,curry leaves,curd,coriander (dhania) leaves,onion,cumin seeds (jeera),potato (aloo),sooji (semolina rava),flour (maida),turmeric powder,green chillies,sunflower oil",75,16,0,4
"tomato,turmeric powder,salt,coriander leaves,red chilli powder,ginger garlic paste,onion,oil,green chillies,green peas,garam masala powder,cabbage",45,12,0,2
"tomato,salt,kashmiri red chilli powder,bay leaves (tej patta),cardamom (elaichi) podsseeds,paneer,asafoetida (hing),ajwain (carom seeds),fennel seeds (saunf),saffron strands,curd,dry ginger powder,coriander (dhania) leaves,cinnamon stick (dalchini),garam masala powder",35,15,2,5
"tomato,coriander (dhania),salt,star anise,rice,cardamom (elaichi) podsseeds,potato (aloo),red chilli powder,green peas (matar),carrot,ginger garlic paste,mint leaves (pudina),onion,cinnamon stick (dalchini),green bell pepper (capsicum),cloves (laung),garam masala powder,sunflower oil",50,18,0,4
"salt,coriander leaves,green chilli,red chilli powder,water,carrot,curd,onion,oil,cucumber,cumin seeds",30,11,0,2
"turmeric powder,salt,vegetable stock,green peas,red chilli powder,cloves garlic,carrot,green beans,onion,oil,potatoes,coconut milk,dijon mustard,cumin seeds",50,14,0,3
"salt,green beans (french beans),ginger,cardamom (elaichi) podsseeds,bay leaf (tej patta),ghee,cloves garlic,carrot,cinnamon stick (dalchini),rice,cloves (laung),coconut milk,turmeric powder,green chillies,cauliflower (gobi) florets",40,15,1,4
"turmeric powder,tomato,salt,stock coriander (dhania) leaves,ginger,yogurt,cinnamon,red chilli powder,cloves garlic,bay leaf,sugar,onion,potatoes boil remove the skin,cardamom,coriander powder,oil,green chillies,garam masala powder",70,18,0,4
